,ti,ni,cu,fe,pd,co,mn,cr,nb,hf,transformation temperature
1,50,10,0,7,33,0,0,0,0,0,92.57488
2,50,41.05,1.95,0,7,0,0,0,0,0,19.5556
3,50,40,0,0,10,0,0,0,0,0,5.77439
4,50,34,0,0,16,0,0,0,0,0,58.18
5,50,30,0,0,20,0,0,0,0,0,130.5351
6,50,25,0,0,25,0,0,0,0,0,182.9042
7,50,49,0,0.2,0.8,0,0,0,0,0,85.35755
8,50,49,0,0.4,0.6,0,0,0,0,0,76.52066
9,50,27.8,0,0.6,21.6,0,0,0,0,0,115.0575
10,50,48.6,0,0.8,0.6,0,0,0,0,0,42.8631
11,50,28.2,0,0.8,21,0,0,0,0,0,111.4006
12,50,48.6,0,0.9,0.5,0,0,0,0,0,59.00743
13,50,48.7,0,1.3,0,0,0,0,0,0,37.73845
14,50,48.3,0,1.6,0.1,0,0,0,0,0,29.4288
15,50,46,0,4,0,0,0,0,0,0,-30.04836
16,50,45.8,0,4.2,0,0,0,0,0,0,-38.82679
17,50,45.7,0,4.3,0,0,0,0,0,0,-42.17236
18,50,30,0.1,0,19.9,0,0,0,0,0,128.1428
19,50,29.8,0.1,0.1,20,0,0,0,0,0,113.1676
20,50,48.1,0.2,1.5,0.2,0,0,0,0,0,28.81456
21,50,48.2,0.6,0.9,0.3,0,0,0,0,0,47.19464
22,50,46.7,0.8,2.3,0.2,0,0,0,0,0,8.6206
23,50,46.8,0.9,2,0.3,0,0,0,0,0,16.79619
24,50,44,1,1,4,0,0,0,0,0,-34.13262
25,50,25.8,1,2,21.2,0,0,0,0,0,71.65775
26,50,45.2,1,3.8,0,0,0,0,0,0,-25.4433
27,50,46.5,1.1,2.2,0.2,0,0,0,0,0,10.64278
28,50,46,1.1,2.8,0.1,0,0,0,0,0,-12.22048
29,50,36.8,1.2,0,12,0,0,0,0,0,49.205
30,50,46.1,1.2,2.7,0,0,0,0,0,0,-1.306821
31,50,45.7,1.2,3,0.1,0,0,0,0,0,-9.08337
32,50,45.1,1.4,3.5,0,0,0,0,0,0,-25.31235
33,50,38.5,1.5,0,10,0,0,0,0,0,38.1703
34,50,44.5,1.5,3,1,0,0,0,0,0,-50.14413
35,50,43.9,1.5,4.6,0,0,0,0,0,0,-44.91348
36,50,44.5,1.6,3.7,0.2,0,0,0,0,0,-28.86574
37,50,44.5,1.7,3.7,0.1,0,0,0,0,0,-28.03577
38,50,40.2,1.8,0,8,0,0,0,0,0,15.9586
39,50,44.6,1.9,3.4,0.1,0,0,0,0,0,-23.07873
40,50,44.5,1.9,3.4,0.2,0,0,0,0,0,-30.04836
41,50,44.2,1.9,3.8,0.1,0,0,0,0,0,-29.68668
42,50,44.2,1.9,3.9,0,0,0,0,0,0,-31.29156
43,50,44.4,2,3.6,0,0,0,0,0,0,-39.3621
44,50,44,2,4,0,0,0,0,0,0,-53.32988
45,50,43.9,2,4,0.1,0,0,0,0,0,-41.48197
46,50,43.8,2,4.1,0.1,0,0,0,0,0,-42.22766
47,50,43.5,2,4.5,0,0,0,0,0,0,-46.68162
48,50,41.9,2.1,0,6,0,0,0,0,0,21.3541
49,50,44.5,2.1,3.4,0,0,0,0,0,0,-25.10928
50,50,43.9,2.1,4,0,0,0,0,0,0,-40.33804
51,50,44,2.3,3.6,0.1,0,0,0,0,0,-32.0457
52,50,44,2.3,3.7,0,0,0,0,0,0,-39.3621
53,50,43.6,2.4,0,4,0,0,0,0,0,42.1497
54,50,43.8,2.6,3.6,0,0,0,0,0,0,-33.57283
55,50,28.1,2.9,0,19,0,0,0,0,0,105.0575
56,50,43.6,3,3.4,0,0,0,0,0,0,-31.2749
57,50,42.8,3.6,2.8,0.8,0,0,0,0,0,-39.04657
58,50,42.8,4,3.2,0,0,0,0,0,0,-41.5943
