"","var","rel.inf"
"VEC.mix","VEC.mix",42.0655906505983
"ou.mix","ou.mix",9.82946521403152
"cs","cs",7.6219940401538
"H.mix","H.mix",5.32369562263303
"A.mix","A.mix",4.24590504437599
"YM.mix","YM.mix",4.23453544404026
"r.atom.mix","r.atom.mix",4.07498195898829
"delta.r.mix","delta.r.mix",3.43775879827348
"S.mix","S.mix",3.33308157122727
"Tm.mix","Tm.mix",3.02970926305812
"lamda.mix","lamda.mix",2.77903128381491
"energy.cohesive.mix","energy.cohesive.mix",2.54139850647834
"mismatch.x.mix","mismatch.x.mix",2.54004365553959
"volume","volume",1.79112956293683
"numa","numa",1.34874566768588
