,Al,Co,Cr,Cu,Fe,Mn,Ni,Si,Ti,Ta,V,Zr,Nb,Mo,Hf,B,Li,Mg,Zn,Sn,Ag,Au,C,Y,Nd,Dy,Er,Tb,Be,Ca,Sr,Yb,Ge,Pd,Pt,P,Gd,Tm,Lu,W,Rh,Ru,type
mr,143,125,129,128,126,137,125,118,147,146,135,160,145,139,159,90,157,160,137,158,144,144,77,182,182,177,175,177,112,197,215,215,139,137,139,110,179,174,172,140,134,134,
ar_c,118,152,166,145,156,161,149,111,176,200,171,206,198,190,208,87,167,145,142,145,165,174,67,212,206,228,226,225,112,194,219,222,125,169,177,98,233,222,217,193,173,178,
en,1.61,1.88,1.66,1.9,1.83,1.55,1.91,1.9,1.54,1.5,1.63,1.33,1.6,2.16,1.3,2.04,0.98,1.31,1.65,1.96,1.93,2.54,2.55,1.22,1.14,1.22,1.24,1.1,1.57,1,0.95,1.1,2.01,2.2,2.28,2.19,1.2,1.25,1.27,2.36,2.28,2.2,
anum,13,27,24,29,26,25,28,14,22,73,23,40,41,42,72,5,3,12,30,50,47,79,6,39,60,66,68,65,4,20,38,70,32,46,78,15,64,69,71,74,45,44,
ven,3,9,6,11,8,7,10,4,4,5,5,4,5,6,4,3,1,2,12,4,11,11,4,3,3,3,3,3,2,2,2,NA,NA,10,10,5,NA,NA,NA,6,NA,NA,
ea,0.230769231,0.333333333,0.25,0.379310345,0.307692308,0.28,0.357142857,0.285714286,0.181818182,0.068493151,0.217391304,0.1,0.12195122,0.142857143,0.055555556,0.6,0.333333333,0.166666667,0.4,0.08,0.234042553,0.139240506,0.666666667,0.076923077,0.05,0.045454545,0.044117647,0.046153846,0.5,0.1,0.052631579,NA,NA,0.217391304,0.128205128,0.333333333,NA,NA,NA,0.081081081,NA,NA,
dor,1.312,0.344,0.427,0.312,0.365,0.389,0.325,1.068,0.489,0.784,0.449,0.79,0.747,0.702,0.829,0.776,1.586,1.279,0.293,0.46,0.536,0.634,0.596,0.865,1.912,1.75,1.703,1.775,1.04,1.69,1.836,1.658,0.261,0.567,0.657,0.919,1.713,1.681,1.553,0.746,0.589,0.622,
mass,26.98,58.93,52,63.55,55.85,54.94,58.69,28.09,47.87,180.95,50.94,91.22,92.91,95.94,178.49,10.81,6.94,24.31,65.41,118.71,107.87,196.97,12.01,88.91,144.24,162.5,167.26,158.93,9.01,40.08,87.62,173.04,72.64,106.42,195.08,30.97,157.25,168.93,174.97,183.84,102.91,101.07,
volume,10,6.67,7.23,7.11,7.09,7.35,6.59,12.1,10.64,10.9,8.78,14.1,10.83,9.4,13.6,4.6,13.1,13.97,9.2,16.3,10.3,10.2,4.58,19.8,20.6,19,18.4,19.2,5,29.9,33.7,24.79,13.6,8.56,9.1,15.5,19.9,18.1,24.79,9.53,8.3,8.3,
energy1,577.54,760.4,652.87,745.48,762.47,717.28,737.14,786.52,658.81,728.42,650.91,640.1,652.13,684.32,658.52,800.64,520.22,737.75,906.4,708.58,731,890.13,1086.45,599.87,533.08,573.03,589.3,565.77,899.5,589.83,549.47,603.43,762.18,804.38,864.4,1011.81,593.37,596.7,523.52,758.76,719.67,710.18,
CE,3.39,4.39,4.1,3.49,4.28,2.92,4.44,4.63,4.85,8.1,5.31,6.25,7.57,6.82,6.44,5.81,1.63,1.51,1.35,3.14,2.95,3.81,7.37,4.37,3.4,3.04,3.29,4.05,3.32,1.84,1.72,1.6,3.85,3.89,5.84,3.43,4.14,2.42,4.43,8.9,5.75,6.74,
EBE,1559.6,7709,5989,8979,7112,6539,8333,1839,4966,67416,5465,17998,18986,20000,65351,188,54.7,1303,9659,29200,25514,80725,284.2,17038,43569,53789,57486,51996,111.5,4038.5,16105,61332,11103,24350,78395,2145.5,50239,59390,63314,69525,23220,22117,
YM,70.2,211,279,129.8,208.2,191,199.5,113,120.2,185.7,127.6,97.1,104.9,324.8,141,440,4.91,44.7,104.5,49.9,82.7,78.5,980,63.5,41.4,61.4,69.9,55.7,318,19.6,15.7,23.9,79.9,121,172.4,30.4,54.8,74,68.6,411,379,432,
cs,1.66,1.04,0.89,1.2,0.99,0.94,1.09,1.92,0.79,0.83,0.84,0.76,0.82,,0.775,2,0.45,1.28,1.44,1.84,1.18,1.16,2.5,0.7,,,,,1.5,0.6,0.55,,1.92,1.12,1.105,2.18,,,,0.885,1.06,1,
Tm,,1768,2180,1357.77,1811,1519,1728,,1941,,,2128,2750,,2506,,,,,,,,,,,,,,,,,,,1828.05,,,,,,,,,
