"","measured","predicted","sd"
"1",-9.862,-13.0495246576588,1.98082938051223
"2",-18.17,-18.2578669094842,2.02570864166089
"3",-28.12,-28.6321363730293,1.62271512916379
"4",-28.29,-26.4212631659094,1.88362454095821
"5",-19.09,-19.3329809253256,2.03433185397422
"6",-26.42,-27.0386408256647,2.01839284842453
"7",-32.9,-31.6302768709192,1.95934415089734
"8",-27.06,-27.5699588477596,1.36882748411065
"9",-15.2,-15.5248274406045,2.06667821622067
"10",-12.2,-13.6579017897653,2.03670262825957
"11",-14.73,-15.395024450322,2.00779796665627
"12",-14.09,-14.4315894480226,2.19022137942653
"13",-13.56,-16.6330570653341,1.96073167638019
"14",-16.85,-17.5874724346761,1.65519368986661
"15",-12.55,-13.4664961893608,2.01597520749576
"16",-31.14,-29.7944118012972,2.05598696650006
"17",-25.42,-24.0580801736386,1.949326649959
"18",-23.33,-22.4071025085391,1.98598089498647
"19",-15.89,-16.7152145030748,1.74558399946842
"20",-21.35,-21.029330313622,2.07272521399675
"21",-23.33,-23.0609776959181,1.89929659287776
"22",-27.56,-25.9433583140027,1.92367213027082
"23",-27.86,-27.7768359277137,1.41162747616239
"24",-19.8,-19.8378117621426,2.03206699936292
"25",-15.75,-18.0411568475625,1.94292131433887
"26",-21.08,-19.9797613896648,2.00925402208006
"27",-24.24,-24.5825433019432,1.92164327351635
"28",-28.12,-27.7385495090656,1.80687831400486
"29",-20.09,-20.3195097934402,2.14907488019586
"30",-21.81,-21.8813712698946,2.04381459184475
"31",-26.42,-24.2529742476776,1.86968144828436
"32",-21.24,-20.4571586601991,2.03642155235595
"33",-15.67,-16.9201875294191,1.96213016208729
"34",-17.34,-18.1750683096254,2.05476324920556
"35",-15.8,-16.7398413271225,2.22541352343014
"36",-27.53,-27.7786440388746,1.35427738278275
"37",-21.16,-20.0504796498582,2.0292445146555
"38",-30.73,-30.1881134411892,1.88479218430525
"39",-19,-18.7705780337949,1.9619524829468
"40",-30.12,-29.9509135755899,2.03213499541987
"41",-13.92,-14.0944611660754,1.99733473127513
"42",-30.08,-29.093260996655,1.70123311755257
"43",-30.61,-27.9005887429695,2.07616366633435
"44",-18.96,-19.0170002307963,2.19106295224448
"45",-21.37,-21.7250536782133,1.82378691434538
"46",-21.35,-22.5542094675513,1.91468498951223
"47",-17.25,-17.6041571344575,1.57686177842688
"48",-30.01,-28.5750190580021,1.91015229130312
"49",-26.11,-25.2915012855529,1.89055516006206
"50",-23.22,-22.8177569210201,1.94596411123912
"51",-16.16,-15.3952075039537,3.37901850105064
"52",-28.12,-29.6100427445302,2.96740391936766
"53",-31.84,-30.8697390018318,2.63605700716877
"54",-27.8,-28.1925472999472,1.74397970700616
"55",-33.04,-30.1038911977286,2.47237200376107
"56",-26.13,-25.7435009106725,3.78267776872145
"57",-24.69,-24.4641711851577,4.76984506227303
"58",-24.79,-21.8623932497282,2.81739533391469
"59",-22.54,-24.4150260295304,3.00792055521956
"60",-21.2,-17.7010771011669,2.96323742512451
"61",-19.17,-19.1618760234345,4.79543577338327
"62",-29.28,-23.6274942757371,3.29845911197082
"63",-16.62,-16.4660300232162,4.24349185010938
"64",-17.76,-18.6933957661623,6.00685295727921
"65",-16.63,-17.8038078537502,5.11240044029215
