"","n_level","MSE_data_mean","sd_MSE","CRPS_data_mean","sd_CRPS"
"V1",1e-05,0.13909646075712,0.00824510085932048,0.196085509608007,0.00865012639670534
"V2",0.05,0.00727476492242042,0.0011720923260045,0.0341840917890285,0.0018703020487689
"V3",0.1,0.00970307018055065,0.00123053968984088,0.0449625408220901,0.00182694068475671
"V4",0.15,0.0142355029965212,0.00162687928281142,0.0595370570032131,0.0022777503004903
"V5",0.2,0.0216412564380146,0.00230790205166859,0.0774310357266354,0.00318523636262998
"V6",0.3,0.0496613129906199,0.00574592412667736,0.124827773705405,0.00735722655525341
"V7",0.4,0.0877313280766945,0.00712317234392973,0.175096527236321,0.00849369070146899
"V8",0.5,0.137384006453537,0.00736630266979493,0.230490611197942,0.00818967559166039
"V9",0.6,0.171431370972874,0.0050539376576548,0.262453302135784,0.00522189736303041
"V10",0.7,0.186472220662428,0.00289455630966062,0.271175049862312,0.00271503151633434
