"","n_level","MSE_data_mean","sd_MSE","CRPS_data_mean","sd_CRPS"
"V1",1e-05,0.184443892298944,0.00411787899005375,0.257594341003137,0.0025236249305412
"V2",0.05,0.168717561689144,0.0065757006395393,0.240788405033469,0.0051140227922058
"V3",0.1,0.121636459343329,0.00873779949268172,0.197890728277997,0.00781177855365842
"V4",0.15,0.0800504061776727,0.00856954870183858,0.154326395342023,0.00808047983384352
"V5",0.2,0.0588590504130385,0.00664101556680964,0.130760148526165,0.00680858752542896
"V6",0.3,0.055644430826655,0.00629301534344481,0.130688808379165,0.00741253881424742
"V7",0.4,0.0809234531459185,0.00870290416984906,0.163250011067428,0.00989719045492266
"V8",0.5,0.117387883552053,0.0101427893429848,0.2036854282061,0.0107268224674452
"V9",0.6,0.149275887100356,0.0092084691554323,0.23460993672165,0.00908689417131178
"V10",0.7,0.175977114611475,0.00740151257808752,0.25657896676459,0.00665226416792952
