"","Ti","Ni","Cu","Hf","Zr","Nb","Co","Cr","Fe","Mn","Pd","delta.r.mix","H.mix","ou.mix","VEC.mix","numa","EI","mean","sd"
"84133",0.272,0.478,0,0.25,0,0,0,0,0,0,0,0.812071837,0.192577884,0.253139362,0.551351351,0.25,0.95652485406484,32.528173803603,2.99551088386323
"84132",0.274,0.478,0,0.248,0,0,0,0,0,0,0,0.807943296,0.194054364,0.253104551,0.551351351,0.25,0.905011648795291,32.3834747663251,3.02028469505041
"42117",0.274,0.476,0,0.25,0,0,0,0,0,0,0,0.808916549,0.194060542,0.254639756,0.535135135,0.25,0.870299271340165,31.8698716811674,3.45158969838428
"84131",0.276,0.478,0,0.246,0,0,0,0,0,0,0,0.803798113,0.195530845,0.253047716,0.551351351,0.25,0.858207068072648,32.2481842004863,3.04109517765495
"42116",0.276,0.476,0,0.248,0,0,0,0,0,0,0,0.804800521,0.195530845,0.254592737,0.535135135,0.25,0.835119086094553,31.7566993144077,3.46687347960594
"84130",0.278,0.478,0,0.244,0,0,0,0,0,0,0,0.79963621,0.197007325,0.252968832,0.551351351,0.25,0.812480825229328,32.1138872908539,3.05812922093274
"42115",0.278,0.476,0,0.246,0,0,0,0,0,0,0,0.800667885,0.197001147,0.254523746,0.535135135,0.25,0.801356293415352,31.646116553822,3.48021170400433
"168164",0.27,0.482,0,0.248,0,0,0,0,0,0,0,0.814145586,0.191286736,0.250152136,0.583783784,0.25,0.774029848096971,32.0583788347292,3.01192494257219
"168165",0.268,0.482,0,0.25,0,0,0,0,0,0,0,0.818299276,0.1897979,0.250162345,0.583783784,0.25,0.773770744714907,32.0446610652995,3.02472293825067
"42114",0.28,0.476,0,0.244,0,0,0,0,0,0,0,0.796518565,0.19847145,0.254432755,0.535135135,0.25,0.768047901920317,31.5352873987114,3.49180288904551
"84129",0.28,0.478,0,0.242,0,0,0,0,0,0,0,0.795457509,0.198483805,0.252867869,0.551351351,0.25,0.767334105922897,31.9793306385421,3.0714291907531
"168163",0.272,0.482,0,0.246,0,0,0,0,0,0,0,0.809975185,0.192775571,0.250119797,0.583783784,0.25,0.738531643979295,31.9405866828672,3.03196226501091
"42113",0.282,0.476,0,0.242,0,0,0,0,0,0,0,0.79235248,0.199941753,0.254319735,0.535135135,0.25,0.735408045004275,31.4246804093982,3.50180693872183
"84128",0.282,0.478,0,0.24,0,0,0,0,0,0,0,0.791261927,0.199960286,0.252744794,0.551351351,0.25,0.723175014955674,31.8456008557978,3.08103308748887
"168162",0.274,0.482,0,0.244,0,0,0,0,0,0,0,0.805787994,0.194264407,0.250065302,0.583783784,0.25,0.705726806867837,31.8295949889408,3.04885162299194
"42112",0.284,0.476,0,0.24,0,0,0,0,0,0,0,0.788169551,0.201412055,0.254184652,0.535135135,0.25,0.702071849967807,31.3097532031851,3.51039024659745
"168161",0.276,0.482,0,0.242,0,0,0,0,0,0,0,0.801583933,0.195753243,0.249988625,0.583783784,0.25,0.676935208070308,31.7293485368169,3.06329792971939
"84127",0.284,0.478,0,0.238,0,0,0,0,0,0,0,0.787049385,0.201436766,0.252599573,0.551351351,0.25,0.675452008205364,31.6978191803741,3.08811268509974
