"","Ti","Ni","Cu","Hf","Zr","Nb","Co","Cr","Fe","Mn","Pd","delta.r.mix","H.mix","ou.mix","VEC.mix","numa","mean","sd","SKO"
"42117",0.274,0.476,0,0.25,0,0,0,0,0,0,0,0.808916549,0.194060542,0.254639756,0.535135135,0.25,31.0464221863508,3.08276308933403,0.385163133059496
"42116",0.276,0.476,0,0.248,0,0,0,0,0,0,0,0.804800521,0.195530845,0.254592737,0.535135135,0.25,31.0129484099804,3.08726803331755,0.380732550105524
"42115",0.278,0.476,0,0.246,0,0,0,0,0,0,0,0.800667885,0.197001147,0.254523746,0.535135135,0.25,30.9800102805853,3.09157384795448,0.376376457388601
"42114",0.28,0.476,0,0.244,0,0,0,0,0,0,0,0.796518565,0.19847145,0.254432755,0.535135135,0.25,30.9469426645154,3.09568184036087,0.371983539805564
"42113",0.282,0.476,0,0.242,0,0,0,0,0,0,0,0.79235248,0.199941753,0.254319735,0.535135135,0.25,30.9141798716471,3.09985631360475,0.367698011075518
"42112",0.284,0.476,0,0.24,0,0,0,0,0,0,0,0.788169551,0.201412055,0.254184652,0.535135135,0.25,30.8817172095754,3.10396373031356,0.363481618685179
"42111",0.286,0.476,0,0.238,0,0,0,0,0,0,0,0.783969696,0.202882358,0.25402747,0.535135135,0.25,30.8489243983805,3.10799852569988,0.359229904252274
"84133",0.272,0.478,0,0.25,0,0,0,0,0,0,0,0.812071837,0.192577884,0.253139362,0.551351351,0.25,31.4449596610184,2.74583077479041,0.358925431690735
"42110",0.288,0.476,0,0.236,0,0,0,0,0,0,0,0.779752835,0.204352661,0.253848152,0.535135135,0.25,30.8159943637939,3.11182093307371,0.354938534000913
"84132",0.274,0.478,0,0.248,0,0,0,0,0,0,0,0.807943296,0.194054364,0.253104551,0.551351351,0.25,31.408441708278,2.75031730645311,0.354049727907131
"42109",0.29,0.476,0,0.234,0,0,0,0,0,0,0,0.775518885,0.205822964,0.253646656,0.535135135,0.25,30.7796449824279,3.11703846603148,0.350509231837515
"84131",0.276,0.478,0,0.246,0,0,0,0,0,0,0,0.803798113,0.195530845,0.253047716,0.551351351,0.25,31.3739923445754,2.75441703494346,0.349457312128352
"42108",0.292,0.476,0,0.232,0,0,0,0,0,0,0,0.771267763,0.207293266,0.253422939,0.535135135,0.25,30.7408520366705,3.12303585624626,0.345942497254069
"84130",0.278,0.478,0,0.244,0,0,0,0,0,0,0,0.79963621,0.197007325,0.252968832,0.551351351,0.25,31.3397358865832,2.75804372769726,0.344809983748934
"42107",0.294,0.476,0,0.23,0,0,0,0,0,0,0,0.766999385,0.208763569,0.253176954,0.535135135,0.25,30.7029580707717,3.12902924511989,0.34156309025202
"84129",0.28,0.478,0,0.242,0,0,0,0,0,0,0,0.795457509,0.198483805,0.252867869,0.551351351,0.25,31.3053976651449,2.76118244796816,0.340061091812335
"42106",0.296,0.476,0,0.228,0,0,0,0,0,0,0,0.762713668,0.210233872,0.252908651,0.535135135,0.25,30.665934572122,3.13492474208829,0.337338303904154
"84128",0.282,0.478,0,0.24,0,0,0,0,0,0,0,0.791261927,0.199960286,0.252744794,0.551351351,0.25,31.2717409033134,2.7639188626971,0.33535993043052
"42105",0.298,0.476,0,0.226,0,0,0,0,0,0,0,0.758410524,0.211704174,0.252617979,0.535135135,0.25,30.6305813020584,3.14047582144789,0.333324244160792
"84127",0.284,0.478,0,0.238,0,0,0,0,0,0,0,0.787049385,0.201436766,0.252599573,0.551351351,0.25,31.2381876921786,2.76632654516797,0.330633387667256
"42104",0.3,0.476,0,0.224,0,0,0,0,0,0,0,0.75408987,0.213174477,0.252304882,0.535135135,0.25,30.5938876525304,3.14582597981875,0.329095568834447
"42103",0.302,0.476,0,0.222,0,0,0,0,0,0,0,0.749751616,0.21464478,0.251969302,0.535135135,0.25,30.5642835923662,3.15373654842997,0.326619298704666
"42102",0.304,0.476,0,0.22,0,0,0,0,0,0,0,0.745395677,0.216115083,0.251611179,0.535135135,0.25,30.542586842344,3.1648804152297,0.326156685383329
"84126",0.286,0.478,0,0.236,0,0,0,0,0,0,0,0.7828198,0.202913247,0.252432169,0.551351351,0.25,31.2043764528773,2.76837627318176,0.325818174901701
"42101",0.306,0.476,0,0.218,0,0,0,0,0,0,0,0.741021962,0.217585385,0.251230447,0.535135135,0.25,30.5146806552959,3.17640595172443,0.324862087647469
"42100",0.308,0.476,0,0.216,0,0,0,0,0,0,0,0.736630382,0.219055688,0.25082704,0.535135135,0.25,30.486072267371,3.18775974598081,0.323427810762254
"42099",0.31,0.476,0,0.214,0,0,0,0,0,0,0,0.732220848,0.220525991,0.250400888,0.535135135,0.25,30.4566340634939,3.19900097536511,0.321851593566464
"84125",0.288,0.478,0,0.234,0,0,0,0,0,0,0,0.778573091,0.204389727,0.252242542,0.551351351,0.25,31.1704699415089,2.76990980431256,0.320901506180237
"42098",0.312,0.476,0,0.212,0,0,0,0,0,0,0,0.727793267,0.221996293,0.249951918,0.535135135,0.25,30.4205702347251,3.2104536669539,0.319362631829935
"42097",0.314,0.476,0,0.21,0,0,0,0,0,0,0,0.723347548,0.223466596,0.249480053,0.535135135,0.25,30.3818048968313,3.22267800317288,0.316690062878765
"84124",0.29,0.478,0,0.232,0,0,0,0,0,0,0,0.774309173,0.205866208,0.252030648,0.551351351,0.25,31.1332711525098,2.77212038608157,0.315704622139324
"42096",0.316,0.476,0,0.208,0,0,0,0,0,0,0,0.718883598,0.224936899,0.248985213,0.535135135,0.25,30.3428024094237,3.23473000547346,0.313966175986038
"168165",0.268,0.482,0,0.25,0,0,0,0,0,0,0,0.818299276,0.1897979,0.250162345,0.583783784,0.25,31.1596316699889,2.7456776626221,0.312875839026402
"42095",0.318,0.476,0,0.206,0,0,0,0,0,0,0,0.714401323,0.226407201,0.248467315,0.535135135,0.25,30.3079133559554,3.24888198962379,0.312368504824131
"168164",0.27,0.482,0,0.248,0,0,0,0,0,0,0,0.814145586,0.191286736,0.250152136,0.583783784,0.25,31.163317320744,2.73574596556766,0.310857017552935
"42094",0.32,0.476,0,0.204,0,0,0,0,0,0,0,0.709900627,0.227877504,0.247926273,0.535135135,0.25,30.2710947288986,3.26370773274012,0.310669553825254
"84123",0.292,0.478,0,0.23,0,0,0,0,0,0,0,0.770027963,0.207342688,0.251796442,0.551351351,0.25,31.0939799494996,2.77450093119972,0.310291900771677
"42093",0.322,0.476,0,0.202,0,0,0,0,0,0,0,0.705381415,0.229347807,0.247361997,0.535135135,0.25,30.2334179369509,3.27875554708239,0.308915796140487
"42092",0.324,0.476,0,0.2,0,0,0,0,0,0,0,0.700843591,0.23081811,0.246774393,0.535135135,0.25,30.1956110378275,3.29373935604747,0.307143217442468
"168163",0.272,0.482,0,0.246,0,0,0,0,0,0,0,0.809975185,0.192775571,0.250119797,0.583783784,0.25,31.1363214292188,2.73562471721507,0.306701399038739
"42091",0.326,0.476,0,0.198,0,0,0,0,0,0,0,0.696287056,0.232288412,0.246163365,0.535135135,0.25,30.1575937596886,3.3086578286509,0.305340753393333
"84122",0.294,0.478,0,0.228,0,0,0,0,0,0,0,0.765729376,0.208819169,0.251539875,0.551351351,0.25,31.0544935932061,2.77721467331186,0.305001083717644
"42090",0.328,0.476,0,0.196,0,0,0,0,0,0,0,0.691711712,0.233758715,0.245528812,0.535135135,0.25,30.1170086231806,3.32354630454008,0.30318866934866
"168162",0.274,0.482,0,0.244,0,0,0,0,0,0,0,0.805787994,0.194264407,0.250065302,0.583783784,0.25,31.1105771253935,2.73534210852003,0.302730505898524
"42089",0.33,0.476,0,0.194,0,0,0,0,0,0,0,0.687117458,0.235229018,0.24487063,0.535135135,0.25,30.0727214369729,3.3383555653243,0.300526393729601
"84121",0.296,0.478,0,0.226,0,0,0,0,0,0,0,0.761413326,0.210295649,0.251260895,0.551351351,0.25,31.0145282879685,2.78017734269616,0.299766970738399
"168161",0.276,0.482,0,0.242,0,0,0,0,0,0,0,0.801583933,0.195753243,0.249988625,0.583783784,0.25,31.0868768956199,2.73502007245474,0.299089712387867
"42088",0.332,0.476,0,0.192,0,0,0,0,0,0,0,0.682504196,0.23669932,0.244188711,0.535135135,0.25,30.0283409789877,3.35312058015647,0.297869713409854
"101",0.276,0.474,0,0.25,0,0,0,0,0,0,0,0.805733498,0.195604977,0.256148329,0.518918919,0.25,29.6524260774979,3.57324765678614,0.297719804115932
"168160",0.278,0.482,0,0.24,0,0,0,0,0,0,0,0.797362921,0.197242079,0.249889735,0.583783784,0.25,31.0628351714931,2.73413907637414,0.295286259976383
"42087",0.334,0.476,0,0.19,0,0,0,0,0,0,0,0.677871822,0.238169623,0.243482942,0.535135135,0.25,29.9828679735802,3.36785024382866,0.295085254846193
"84120",0.298,0.478,0,0.224,0,0,0,0,0,0,0,0.757079727,0.21177213,0.250959449,0.551351351,0.25,30.97461789284,2.78255444416118,0.294459274131033
"100",0.278,0.474,0,0.248,0,0,0,0,0,0,0,0.801629942,0.197069102,0.256089161,0.518918919,0.25,29.6233054622185,3.57233288792569,0.293668290699607
"42086",0.336,0.476,0,0.188,0,0,0,0,0,0,0,0.673220233,0.239639926,0.242753208,0.535135135,0.25,29.9320047535539,3.38246453686134,0.291580656542819
"168159",0.28,0.482,0,0.238,0,0,0,0,0,0,0,0.793124876,0.198730915,0.2497686,0.583783784,0.25,31.0388523753598,2.73268204717542,0.291378806418986
"99",0.28,0.474,0,0.246,0,0,0,0,0,0,0,0.797509813,0.198533227,0.256008071,0.518918919,0.25,29.5941472275365,3.57134732449088,0.28963602245516
"84119",0.3,0.478,0,0.222,0,0,0,0,0,0,0,0.752728492,0.21324861,0.250635479,0.551351351,0.25,30.9332241922679,2.78438393911196,0.288867974713803
"42085",0.338,0.476,0,0.186,0,0,0,0,0,0,0,0.668549327,0.241110229,0.241999388,0.535135135,0.25,29.8810776264157,3.39697088477346,0.288088853365241
"84117",0.304,0.478,0,0.218,0,0,0,0,0,0,0,0.743972757,0.216201571,0.249919722,0.551351351,0.25,30.8840116142172,2.80914146212444,0.287875193682196
"84114",0.31,0.478,0,0.212,0,0,0,0,0,0,0,0.73070465,0.220631012,0.248675551,0.551351351,0.25,30.8108562280839,2.85148355398752,0.287768883842319
"84116",0.306,0.478,0,0.216,0,0,0,0,0,0,0,0.739568079,0.217678051,0.249527806,0.551351351,0.25,30.8598408450205,2.82274836934408,0.287746295732784
"84118",0.302,0.478,0,0.22,0,0,0,0,0,0,0,0.748359531,0.21472509,0.250288925,0.551351351,0.25,30.9060060810353,2.79508699240857,0.287578520392232
"168158",0.282,0.482,0,0.236,0,0,0,0,0,0,0,0.788869716,0.200219751,0.249625184,0.583783784,0.25,31.0158217752684,2.73066992588953,0.287505393323302
"84113",0.312,0.478,0,0.21,0,0,0,0,0,0,0,0.726245714,0.222107493,0.248215063,0.551351351,0.25,30.7798795301259,2.86828769729773,0.287447194684654
"84115",0.308,0.478,0,0.214,0,0,0,0,0,0,0,0.735145407,0.219154532,0.249113106,0.551351351,0.25,30.8348526149099,2.83604619919698,0.287423774229479
